"transaction_timestamp","symbol_id","bid_price","bid_size","ask_price","ask_size","price_decimal"
"2024-04-01 14:06:02.994779376",7614,9123000,100,9128800,100,4
"2024-04-01 14:06:02.995190264",7614,9123000,100,9128800,200,4
"2024-04-01 14:06:03.000105908",7614,9123000,100,9126700,200,4
"2024-04-01 14:06:03.001505712",7614,9123000,100,9126600,100,4
"2024-04-01 14:06:03.005878955",7614,9123000,100,9126600,200,4
"2024-04-01 14:06:03.011474399",7614,9123000,100,9126700,200,4
"2024-04-01 14:06:03.015753903",7614,9123000,100,9126600,100,4
"2024-04-01 14:06:03.028693912",7614,9123000,100,9126600,200,4
"2024-04-01 14:06:03.052172878",7614,9123000,100,9126500,200,4
"2024-04-01 14:06:03.053945103",7614,9123000,100,9126400,100,4
"2024-04-01 14:06:03.058663882",7614,9123000,100,9126400,200,4
"2024-04-01 14:06:03.058724102",7614,9123000,100,9126400,100,4
"2024-04-01 14:06:03.067464164",7614,9123000,100,9126300,200,4
"2024-04-01 14:06:03.068600684",7614,9123000,100,9126200,100,4
"2024-04-01 14:06:03.073349573",7614,9123000,100,9126100,200,4
"2024-04-01 14:06:03.076177372",7614,9123000,100,9126000,100,4
"2024-04-01 14:06:03.080332281",7614,9123000,100,9126000,300,4
"2024-04-01 14:06:03.081258346",7614,9123000,100,9126000,200,4
"2024-04-01 14:06:03.086598442",7614,9123000,100,9125800,200,4
"2024-04-01 14:06:03.152765576",10407,928200,5700,928300,8300,4
"2024-04-01 14:06:03.152798314",10407,928200,5900,928300,8300,4
"2024-04-01 14:06:03.158803241",10407,928200,5700,928300,8300,4
"2024-04-01 14:06:03.190257213",7614,9123000,100,9125800,100,4
"2024-04-01 14:06:03.190429000",7614,9123000,100,9128900,200,4
"2024-04-01 14:06:03.190561897",7614,9123000,100,9127100,100,4
"2024-04-01 14:06:03.190581064",7614,9124000,100,9127100,100,4
"2024-04-01 14:06:03.190596562",7614,9123000,100,9127100,100,4
"2024-04-01 14:06:03.197498604",7614,9123000,100,9128800,100,4
"2024-04-01 14:06:03.197900263",7614,9123000,100,9128800,200,4
"2024-04-01 14:06:03.431223653",10407,928200,5700,928300,8200,4
"2024-04-01 14:06:03.431891827",10407,928200,6500,928300,8200,4
"2024-04-01 14:06:03.526045032",7614,9123000,100,9126700,100,4
"2024-04-01 13:30:00.000229871",10407,932900,2600,932900,19900,4
"2024-04-01 13:30:00.000789162",7614,9028700,800,9029800,100,4
"2024-04-01 13:30:00.001023506",7614,9028700,800,9029900,100,4
"2024-04-01 13:30:00.001131801",10407,932900,2600,932900,18700,4
"2024-04-01 13:30:00.001326116",10407,932900,2600,933000,100,4
"2024-04-01 13:30:00.002240642",10407,932900,2600,933000,300,4
"2024-04-01 13:30:00.002757005",10407,932900,2600,933000,1200,4
"2024-04-01 13:30:00.003992199",9574,39200,300,39300,1000,4
"2024-04-01 13:30:00.004265000",10407,932900,2600,933000,1200,4
"2024-04-01 13:30:00.006273319",2178,29000000,100,29132200,200,4
